Jake Sullivan,17
Lauren Jiloty,16
Cheryl Mills,10
Huma Abedin,10
Monica Hanley,6
Lona Valmoro,6
Anne-Marie Slaughter,3
Sidney Blumenthal,3
Philippe Reines,3
Robert Russo,2
Richard Verma,2
Cherie Blair,1
Strobe Talbott,1
